Name,1,2,3,4,5
Haru_Sonsho-In,#d3b5b3,#fadfe6,#f7d0a7,#d2d972,#495642
Haru_Kyoto_Ine-cho,#efffff,#b8d3e8,#214458,#30424c,#3b413f
Amanohashidate,#869ea2,#74887f,#435047,#8fa6ae,#98afb7
Hanamushiro,#d6c3e1,#dccada,#e1bed6,#c27ba3,#ab799c
Hokkaido_Sky,#bd9267,#594433,#9a9da4,#90b8dc,#5b84bc
Yozakura,#dad4d6,#6b6952,#c8bfb6,#827d67,#eae9e7
Kyoto_City,#abb0b6,#98a2b1,#8799b1,#8aa9d8,#7490c2
Hakodate_Mt,#6c6c6a,#542d1c,#726129,#8a5e37,#d4b694
Akashiyaki,#a71426,#704207,#c6b395,#ab824c,#660809
Sapporo_Sta,#7f776c,#88745b,#c4beb2,#3c4c6d,#4875b6
Otaru_Unga,#7d5c53,#54514a,#466265,#98a1a8,#c3ced4
Totan,#340903,#784319,#b58463,#c49d80,#c2ae95
Matcha,#83984b,#7c9144,#7d9750,#899e51,#88a65e
Utonaiko,#1b1320,#69655a,#99a8bd,#537ab3,#4f6678
